Growth-Media	WELL-ID	In-Group
PMA phosphorus source test + thymidine 3'5'-cyclic monophosphate	E12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + deoxyadenosine	E11	Biolog PM1 - Carbon Sources
PMA carbon source test + itaconate	E11	Biolog PM2 - Carbon Sources
PMA nitrogen source test + <i>N</i>-acetyl-D-glucosamine	E11	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 1D-<i>myo</i>-inositol 1,2,3,4,5,6-hexakisphosphate	E11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 2-ketopentanoate	E10	Biolog PM2 - Carbon Sources
PMA carbon source test + maltotriose	E10	Biolog PM1 - Carbon Sources
PMA nitrogen source test + D-mannosamine	E10	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + dTMP	E10	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + caprate	E1	Biolog PM2 - Carbon Sources
PMA carbon source test + gln	E1	Biolog PM1 - Carbon Sources
PMA nitrogen source test + histamine	E1	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + O-phospho-D-tyrosine	E1	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + lactose	D9	Biolog PM1 - Carbon Sources
PMA carbon source test + <i>N</i>-acetyl -D- glucosaminitol	D9	Biolog PM2 - Carbon Sources
PMA nitrogen source test + ethanolamine	D9	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + uridine 3'-monophosphate	D9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-xylitol	D8	Biolog PM2 - Carbon Sources
PMA carbon source test + methyl-&alpha;-D-galactopyranoside	D8	Biolog PM1 - Carbon Sources
PMA nitrogen source test + ethylamine	D8	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + uridine 2'-monophosphate	D8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 2-oxobutanoate	D7	Biolog PM1 - Carbon Sources
PMA carbon source test + turanose	D7	Biolog PM2 - Carbon Sources
PMA nitrogen source test + butylamine	D7	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + L-threonine O-3-phosphate	D7	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 2-oxoglutarate	D6	Biolog PM1 - Carbon Sources
PMA carbon source test + D-tagatose	D6	Biolog PM2 - Carbon Sources
PMA nitrogen source test + n-amylamine	D6	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 3-phospho-L-serine	D6	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + stachyose	D5	Biolog PM2 - Carbon Sources
PMA carbon source test + Tween 40	D5	Biolog PM1 - Carbon Sources
PMA nitrogen source test + methylamine	D5	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + O-phospho-D-serine	D5	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + L-1,2-propanediol	D4	Biolog PM1 - Carbon Sources
PMA carbon source test + L-sorbose	D4	Biolog PM2 - Carbon Sources
PMA nitrogen source test + hydroxylamine	D4	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + N-phospho-L-arginine	D4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + glucosaminate	D3	Biolog PM1 - Carbon Sources
PMA carbon source test + sedoheptulose anhydride	D3	Biolog PM2 - Carbon Sources
PMA nitrogen source test + 5-oxoproline	D3	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + cysteamine S-phosphate	D3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-aspartate	D2	Biolog PM1 - Carbon Sources
