dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
108,83333,bglA,bglA,NE,,PEC
108,83333,bglB,bglB,NE,,PEC
108,83333,bglF,bglF,NE,,PEC
108,83333,bglG,bglG,NE,,PEC
108,83333,bglH,bglH,NE,,PEC
108,83333,bglJ,bglJ,NE,,PEC
108,83333,bglT,bglT,NE,,PEC
108,83333,bglX,bglX,NE,,PEC
108,83333,bhsA,bhsA,NE,,PEC
108,83333,bioA,bioA,NE,,PEC
108,83333,bioB,bioB,NE,,PEC
108,83333,bioC,bioC,NE,,PEC
108,83333,bioD,bioD,NE,,PEC
108,83333,bioF,bioF,NE,,PEC
108,83333,bioH,bioH,NE,,PEC
108,83333,bioP,bioP,NE,,PEC
108,83333,birA,birA,E,,PEC
108,83333,bisC,bisC,NE,,PEC
108,83333,blc,blc,NE,,PEC
108,83333,blr,blr,NE,,PEC
108,83333,bluF,bluF,NE,,PEC
108,83333,bluR,bluR,NE,,PEC
108,83333,bolA,bolA,NE,,PEC
108,83333,borD,borD,NE,,PEC
108,83333,brnQ,brnQ,NE,,PEC
108,83333,brnR,brnR,NE,,PEC
108,83333,brnS,brnS,NE,,PEC
108,83333,brnT,brnT,NE,,PEC
108,83333,bsmA,bsmA,NE,,PEC
108,83333,bssR,bssR,NE,,PEC
108,83333,bssS,bssS,NE,,PEC
108,83333,btuB,btuB,NE,,PEC
108,83333,btuC,btuC,NE,,PEC
108,83333,btuD,btuD,NE,,PEC
108,83333,btuE,btuE,NE,,PEC
108,83333,btuF,btuF,NE,,PEC
108,83333,btuR,btuR,NE,,PEC
108,83333,bymA,bymA,NE,,PEC
108,83333,cadA,cadA,NE,,PEC
108,83333,cadB,cadB,NE,,PEC
108,83333,cadC,cadC,NE,,PEC
108,83333,caiA,caiA,NE,,PEC
108,83333,caiB,caiB,NE,,PEC
108,83333,caiC,caiC,NE,,PEC
108,83333,caiD,caiD,NE,,PEC
108,83333,caiE,caiE,NE,,PEC
108,83333,caiF,caiF,NE,,PEC
108,83333,caiT,caiT,NE,,PEC
108,83333,calA,calA,NE,,PEC
108,83333,calC,calC,NE,,PEC
108,83333,calD,calD,NE,,PEC
108,83333,can,can,C,,PEC
108,83333,carA,carA,NE,,PEC
108,83333,carB,carB,NE,,PEC
108,83333,casA,casA,NE,,PEC
108,83333,casB,casB,NE,,PEC
108,83333,casC,casC,NE,,PEC
108,83333,casD,casD,NE,,PEC
108,83333,casE,casE,NE,,PEC
108,83333,cbeA,cbeA,NE,,PEC
108,83333,cbl,cbl,NE,,PEC
108,83333,cbpA,cbpA,NE,,PEC
108,83333,cbpM,cbpM,NE,,PEC
108,83333,cbrA,cbrA,NE,,PEC
108,83333,cbrB,cbrB,NE,,PEC
108,83333,cbrC,cbrC,NE,,PEC
108,83333,cbtA,cbtA,NE,,PEC
108,83333,cca,cca,E,,PEC
108,83333,ccmA,ccmA,NE,,PEC
108,83333,ccmB,ccmB,NE,,PEC
108,83333,ccmC,ccmC,NE,,PEC
108,83333,ccmD,ccmD,NE,,PEC
108,83333,ccmE,ccmE,NE,,PEC
108,83333,ccmF,ccmF,NE,,PEC
108,83333,ccmH,ccmH,NE,,PEC
108,83333,cdaR,cdaR,NE,,PEC
108,83333,cdd,cdd,NE,,PEC
108,83333,cde,cde,NE,,PEC
108,83333,cdh,cdh,NE,,PEC
108,83333,cdsA,cdsA,E,,PEC
108,83333,cdsS,cdsS,NE,,PEC
108,83333,cedA,cedA,NE,,PEC
108,83333,cfa,cfa,NE,,PEC
108,83333,cfcA,cfcA,C,,PEC
108,83333,chaA,chaA,NE,,PEC
108,83333,chaB,chaB,NE,,PEC
108,83333,chaC,chaC,NE,,PEC
108,83333,chbA,chbA,NE,,PEC
108,83333,chbB,chbB,NE,,PEC
108,83333,chbC,chbC,NE,,PEC
108,83333,chbF,chbF,NE,,PEC
108,83333,chbG,chbG,NE,,PEC
108,83333,chbR,chbR,NE,,PEC
108,83333,cheA,cheA,NE,,PEC
108,83333,cheB,cheB,NE,,PEC
108,83333,cheR,cheR,NE,,PEC
108,83333,cheW,cheW,NE,,PEC
108,83333,cheY,cheY,NE,,PEC
108,83333,cheZ,cheZ,NE,,PEC
108,83333,chiA,chiA,NE,,PEC
108,83333,chiP,chiP,NE,,PEC
108,83333,chiQ,chiQ,NE,,PEC
108,83333,chiX,chiX,NE,,PEC
108,83333,cho,cho,NE,,PEC
108,83333,chpB,chpB,NE,,PEC
108,83333,chpS,chpS,NE,,PEC
